Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,196,1,Some Random Commen with Id 0
1,0,1,145,1,Some Random Commen with Id 1
2,0,1,107,1,Some Random Commen with Id 2
3,0,1,2,9,Some Random Commen with Id 3
4,0,1,167,6,Some Random Commen with Id 4
5,0,1,100,3,Some Random Commen with Id 5
6,0,1,39,5,Some Random Commen with Id 6
7,0,1,177,0,Some Random Commen with Id 7
8,0,1,134,4,Some Random Commen with Id 8
9,1,3,188,1,Some Random Commen with Id 9
10,1,3,75,3,Some Random Commen with Id 10
11,1,3,44,9,Some Random Commen with Id 11
12,2,7,118,7,Some Random Commen with Id 12
13,2,7,117,4,Some Random Commen with Id 13
14,3,5,7,5,Some Random Commen with Id 14
15,3,5,54,0,Some Random Commen with Id 15
16,3,5,189,2,Some Random Commen with Id 16
17,3,5,74,5,Some Random Commen with Id 17
18,3,5,190,2,Some Random Commen with Id 18
19,3,5,14,5,Some Random Commen with Id 19
20,4,6,150,8,Some Random Commen with Id 20
21,4,6,57,1,Some Random Commen with Id 21
22,4,6,115,5,Some Random Commen with Id 22
23,4,6,68,9,Some Random Commen with Id 23
24,4,6,18,6,Some Random Commen with Id 24
25,4,6,51,7,Some Random Commen with Id 25
26,4,6,81,8,Some Random Commen with Id 26
27,4,6,131,0,Some Random Commen with Id 27
28,4,6,86,1,Some Random Commen with Id 28
29,5,8,146,2,Some Random Commen with Id 29
30,5,8,94,7,Some Random Commen with Id 30
31,5,8,59,0,Some Random Commen with Id 31
32,5,8,118,3,Some Random Commen with Id 32
33,5,8,119,8,Some Random Commen with Id 33
34,5,8,182,4,Some Random Commen with Id 34
35,5,8,52,5,Some Random Commen with Id 35
36,6,0,188,8,Some Random Commen with Id 36
37,6,0,118,3,Some Random Commen with Id 37
38,6,0,126,2,Some Random Commen with Id 38
39,7,8,80,7,Some Random Commen with Id 39
40,7,8,73,5,Some Random Commen with Id 40
41,7,8,64,4,Some Random Commen with Id 41
42,7,8,103,8,Some Random Commen with Id 42
43,8,8,112,7,Some Random Commen with Id 43
44,8,8,11,3,Some Random Commen with Id 44
45,8,8,80,1,Some Random Commen with Id 45
46,8,8,45,4,Some Random Commen with Id 46
47,8,8,114,7,Some Random Commen with Id 47
48,8,8,99,0,Some Random Commen with Id 48
49,9,2,28,3,Some Random Commen with Id 49
50,9,2,154,0,Some Random Commen with Id 50
51,9,2,156,6,Some Random Commen with Id 51
52,9,2,160,0,Some Random Commen with Id 52
53,9,2,198,5,Some Random Commen with Id 53
54,10,7,86,7,Some Random Commen with Id 54
55,10,7,184,9,Some Random Commen with Id 55
56,10,7,114,3,Some Random Commen with Id 56
57,10,7,120,8,Some Random Commen with Id 57
58,10,7,113,1,Some Random Commen with Id 58
59,10,7,17,4,Some Random Commen with Id 59
60,10,7,100,8,Some Random Commen with Id 60
61,10,7,133,2,Some Random Commen with Id 61
62,10,7,161,9,Some Random Commen with Id 62
63,11,8,118,3,Some Random Commen with Id 63
64,11,8,38,8,Some Random Commen with Id 64
65,11,8,90,0,Some Random Commen with Id 65
66,11,8,109,1,Some Random Commen with Id 66
67,11,8,7,1,Some Random Commen with Id 67
68,11,8,128,2,Some Random Commen with Id 68
69,12,6,2,5,Some Random Commen with Id 69
70,12,6,199,5,Some Random Commen with Id 70
71,12,6,114,8,Some Random Commen with Id 71
72,13,8,51,5,Some Random Commen with Id 72
73,13,8,56,9,Some Random Commen with Id 73
74,13,8,147,1,Some Random Commen with Id 74
75,14,4,96,9,Some Random Commen with Id 75
76,14,4,102,9,Some Random Commen with Id 76
77,14,4,118,3,Some Random Commen with Id 77
78,14,4,130,4,Some Random Commen with Id 78
79,14,4,190,8,Some Random Commen with Id 79
80,14,4,15,3,Some Random Commen with Id 80
81,14,4,121,4,Some Random Commen with Id 81
82,14,4,174,0,Some Random Commen with Id 82
83,15,8,148,7,Some Random Commen with Id 83
84,15,8,193,3,Some Random Commen with Id 84
85,15,8,43,2,Some Random Commen with Id 85
86,16,3,22,1,Some Random Commen with Id 86
87,16,3,7,8,Some Random Commen with Id 87
88,16,3,149,3,Some Random Commen with Id 88
89,16,3,51,3,Some Random Commen with Id 89
90,16,3,129,4,Some Random Commen with Id 90
91,16,3,173,7,Some Random Commen with Id 91
92,16,3,145,9,Some Random Commen with Id 92
93,17,1,115,9,Some Random Commen with Id 93
94,17,1,105,4,Some Random Commen with Id 94
95,17,1,119,8,Some Random Commen with Id 95
96,17,1,26,3,Some Random Commen with Id 96
97,17,1,45,6,Some Random Commen with Id 97
98,17,1,121,3,Some Random Commen with Id 98
99,17,1,103,6,Some Random Commen with Id 99
100,17,1,157,4,Some Random Commen with Id 100
101,17,1,72,9,Some Random Commen with Id 101
102,18,3,28,4,Some Random Commen with Id 102
103,18,3,186,1,Some Random Commen with Id 103
104,18,3,57,4,Some Random Commen with Id 104
105,18,3,176,0,Some Random Commen with Id 105
106,18,3,155,1,Some Random Commen with Id 106
107,18,3,43,7,Some Random Commen with Id 107
108,18,3,110,6,Some Random Commen with Id 108
109,18,3,55,6,Some Random Commen with Id 109
110,19,2,55,2,Some Random Commen with Id 110
111,19,2,166,4,Some Random Commen with Id 111
112,19,2,87,4,Some Random Commen with Id 112
113,19,2,183,1,Some Random Commen with Id 113
114,19,2,181,5,Some Random Commen with Id 114
115,19,2,165,4,Some Random Commen with Id 115
116,19,2,146,5,Some Random Commen with Id 116
117,19,2,136,4,Some Random Commen with Id 117
118,20,1,5,1,Some Random Commen with Id 118
119,20,1,178,7,Some Random Commen with Id 119
120,20,1,44,2,Some Random Commen with Id 120
121,20,1,120,6,Some Random Commen with Id 121
122,20,1,172,5,Some Random Commen with Id 122
123,20,1,28,2,Some Random Commen with Id 123
124,20,1,17,6,Some Random Commen with Id 124
125,20,1,62,1,Some Random Commen with Id 125
126,20,1,92,6,Some Random Commen with Id 126
127,21,1,161,1,Some Random Commen with Id 127
128,21,1,112,0,Some Random Commen with Id 128
129,21,1,70,7,Some Random Commen with Id 129
130,22,6,191,6,Some Random Commen with Id 130
131,22,6,184,6,Some Random Commen with Id 131
132,22,6,166,8,Some Random Commen with Id 132
133,24,7,33,8,Some Random Commen with Id 133
134,25,0,7,8,Some Random Commen with Id 134
135,25,0,42,2,Some Random Commen with Id 135
136,25,0,49,1,Some Random Commen with Id 136
137,26,0,188,2,Some Random Commen with Id 137
138,27,5,56,2,Some Random Commen with Id 138
139,28,3,72,6,Some Random Commen with Id 139
140,28,3,155,9,Some Random Commen with Id 140
141,28,3,199,9,Some Random Commen with Id 141
142,28,3,10,8,Some Random Commen with Id 142
143,28,3,14,7,Some Random Commen with Id 143
144,28,3,42,2,Some Random Commen with Id 144
145,30,9,146,8,Some Random Commen with Id 145
146,31,4,166,1,Some Random Commen with Id 146
147,31,4,13,7,Some Random Commen with Id 147
148,31,4,26,3,Some Random Commen with Id 148
149,32,5,34,3,Some Random Commen with Id 149
150,32,5,137,0,Some Random Commen with Id 150
151,32,5,33,0,Some Random Commen with Id 151
152,32,5,1,3,Some Random Commen with Id 152
153,32,5,58,7,Some Random Commen with Id 153
154,33,8,151,6,Some Random Commen with Id 154
155,33,8,87,5,Some Random Commen with Id 155
156,33,8,15,2,Some Random Commen with Id 156
157,33,8,107,7,Some Random Commen with Id 157
158,34,3,135,9,Some Random Commen with Id 158
159,34,3,127,9,Some Random Commen with Id 159
160,34,3,39,3,Some Random Commen with Id 160
161,34,3,63,8,Some Random Commen with Id 161
162,35,6,99,4,Some Random Commen with Id 162
163,35,6,66,0,Some Random Commen with Id 163
164,35,6,16,2,Some Random Commen with Id 164
165,35,6,109,6,Some Random Commen with Id 165
166,35,6,3,7,Some Random Commen with Id 166
167,35,6,144,7,Some Random Commen with Id 167
168,35,6,79,7,Some Random Commen with Id 168
169,35,6,130,7,Some Random Commen with Id 169
170,35,6,84,5,Some Random Commen with Id 170
171,36,6,97,8,Some Random Commen with Id 171
172,36,6,123,2,Some Random Commen with Id 172
173,36,6,58,2,Some Random Commen with Id 173
174,36,6,174,8,Some Random Commen with Id 174
175,36,6,36,7,Some Random Commen with Id 175
176,36,6,47,2,Some Random Commen with Id 176
177,38,9,49,8,Some Random Commen with Id 177
178,38,9,26,6,Some Random Commen with Id 178
179,38,9,40,4,Some Random Commen with Id 179
180,38,9,90,5,Some Random Commen with Id 180
181,38,9,115,5,Some Random Commen with Id 181
182,38,9,161,8,Some Random Commen with Id 182
183,38,9,188,9,Some Random Commen with Id 183
184,38,9,65,9,Some Random Commen with Id 184
185,39,3,43,7,Some Random Commen with Id 185
186,39,3,129,7,Some Random Commen with Id 186
187,39,3,53,2,Some Random Commen with Id 187
188,39,3,80,7,Some Random Commen with Id 188
189,39,3,9,8,Some Random Commen with Id 189
190,39,3,166,3,Some Random Commen with Id 190
191,39,3,56,4,Some Random Commen with Id 191
192,39,3,50,2,Some Random Commen with Id 192
193,39,3,29,0,Some Random Commen with Id 193
